9 36
Tad Veridia 47
Tad Lyddwquaygrave 96
Tad Comet 273
Tad Atheria 41
Tad Bridmuch 90
Tad Synergy 174
Tad Avalon 63
Tad Molecule 242
Veridia Lyddwquaygrave 164
Veridia Comet 104
Veridia Atheria 145
Veridia Bridmuch 164
Veridia Synergy 66
Veridia Avalon 94
Veridia Molecule 33
Lyddwquaygrave Comet 95
Lyddwquaygrave Atheria 18
Lyddwquaygrave Bridmuch 109
Lyddwquaygrave Synergy 109
Lyddwquaygrave Avalon 217
Lyddwquaygrave Molecule 211
Comet Atheria 214
Comet Bridmuch 107
Comet Synergy 143
Comet Avalon 64
Comet Molecule 165
Atheria Bridmuch 53
Atheria Synergy 281
Atheria Avalon 85
Atheria Molecule 263
Bridmuch Synergy 134
Bridmuch Avalon 189
Bridmuch Molecule 188
Synergy Avalon 143
Synergy Molecule 75
Avalon Molecule 191
